symbol,lookahead,adj growth rate,wacc,terminal val,dcf,current price,future price,growth,niev,adj growth,avg roc,cash,net_margin,roa
GBLI,24950900.0,-1.32,0.058499999999999996,4539950000.0,9910159043.73,24.79,940.76,3695.0000000000005,0.08,-1.32,0.01,0.11,0.04,0.0
GLRE,14941300.0,0.13,0.10859999999999999,-823457665.26,,7.9,,,0.07,0.13,-0.14,0.13,0.03,-0.06
CMLS,14686300.0,-0.93,0.060599999999999994,5333007843.14,1914223490.59,7.53,103.26,1271.0,0.11,-0.93,0.12,1.27,0.02,0.11
CPLP,81929800.0,-110.49,0.0462,77879750000.0,-2.1692133116323417e+25,14.6,-1.1184567493347882e+18,-7.660662666676632e+18,0.34,-110.49,-0.02,0.16,0.52,-0.02
CPTAL,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLFC,2849200.0,-0.21,0.031400000000000004,-30496071910.11,-7190717555.03,48.44,-1195.26,-2568.0,0.01,-0.21,0.02,0.16,0.01,0.02
ESGRP,0.0,0.0,0.07,131768000000.0,181219500000.0,23.82,8444.21,35350.0,0.14,0.0,0.04,2.99,0.0,0.03
JG,-119496400.0,0.3,0.0758,-1638991122.72,-4355524895.94,0.89,-36.78,-4233.0,-1.33,0.3,-0.39,0.24,-0.39,-0.18
KINS,-6271555.85,-2.83,0.0246,-1775086523.08,1559035868.2,1.12,148.72,13179.0,-0.63,-2.83,-0.01,0.19,-0.05,-0.01
QBAK,-5950.0,-0.27,0.0362,46057142.86,-14601041.77,2.25,-inf,-inf,-0.0,-0.27,0.02,1.52,-0.0,0.01
PKOH,-21080000.0,0.7,0.050300000000000004,-1031544715.45,-261814652595.32,13.34,-20778.78,-155863.0,-0.15,0.7,0.02,0.16,-0.02,0.01
ZEAL,-865426650.0,-0.29,0.0817,-29674616786.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
